Phase= 3, Time= 124, Destination=(0,3), Source=(1,0), Packet Value=1000000000000000000000000000000100000000000000000000000100000011
Phase= 3, Time= 126, Destination=(0,3), Source=(3,2), Packet Value=1000000000000000000000100000001100000000000000000000000100000011
Phase= 3, Time= 128, Destination=(0,3), Source=(2,1), Packet Value=1000000000000000000000010000001000000000000000000000000100000011
Phase= 3, Time= 130, Destination=(0,3), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100000011
Phase= 3, Time= 132, Destination=(0,3), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100000011
Phase= 3, Time= 134, Destination=(0,3), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100000011
Phase= 4, Time= 140, Destination=(1,0), Source=(2,0), Packet Value=1000000000000000000000000000001000000000000000000000000100000100
Phase= 4, Time= 142, Destination=(1,0), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100000100
Phase= 4, Time= 144, Destination=(1,0), Source=(1,1), Packet Value=1100000000000000000000010000000100000000000000000000000100000100
Phase= 4, Time= 146, Destination=(1,0), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100000100
Phase= 4, Time= 148, Destination=(1,0), Source=(0,1), Packet Value=1110000000000000000000010000000000000000000000000000000100000100
Phase= 4, Time= 150, Destination=(1,0), Source=(1,2), Packet Value=1100000000000000000000100000000100000000000000000000000100000100
Phase= 4, Time= 152, Destination=(1,0), Source=(2,1), Packet Value=1100000000000000000000010000001000000000000000000000000100000100
Phase= 4, Time= 154, Destination=(1,0), Source=(0,2), Packet Value=1110000000000000000000100000000000000000000000000000000100000100
Phase= 4, Time= 156, Destination=(1,0), Source=(1,3), Packet Value=1100000000000000000000110000000100000000000000000000000100000100
Phase= 4, Time= 158, Destination=(1,0), Source=(3,1), Packet Value=1100000000000000000000010000001100000000000000000000000100000100
Phase= 4, Time= 160, Destination=(1,0), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100000100
Phase= 4, Time= 162, Destination=(1,0), Source=(2,2), Packet Value=1100000000000000000000100000001000000000000000000000000100000100
Phase= 4, Time= 164, Destination=(1,0), Source=(3,2), Packet Value=1100000000000000000000100000001100000000000000000000000100000100
Phase= 4, Time= 166, Destination=(1,0), Source=(2,3), Packet Value=1100000000000000000000110000001000000000000000000000000100000100
